"emp_no","first_name","last_name","title","from_date","to_date"
91126,"Constantijn","Piazza","Senior Engineer","1988-01-15","9999-01-01"
91127,"Phuoc","Baar","Senior Staff","1999-05-12","9999-01-01"
91127,"Phuoc","Baar","Staff","1990-05-12","1999-05-12"
91128,"Terresa","Suessmith","Engineer","1992-09-27","2000-09-27"
91128,"Terresa","Suessmith","Senior Engineer","2000-09-27","9999-01-01"
91139,"Gererd","Quittner","Staff","1999-05-03","9999-01-01"
91141,"Krassimir","Flowers","Senior Engineer","1994-09-30","9999-01-01"
91145,"Candida","Veldwijk","Assistant Engineer","1995-03-31","1998-06-12"
91150,"Kwee","Schaad","Senior Staff","1998-12-08","9999-01-01"
91153,"Yefim","Clouatre","Engineer","1985-10-21","1992-10-21"
91153,"Yefim","Clouatre","Senior Engineer","1992-10-21","9999-01-01"
91156,"Xiaoqiang","Erie","Senior Staff","2000-03-13","9999-01-01"
91156,"Xiaoqiang","Erie","Staff","1991-03-14","2000-03-13"
91159,"Fusako","Boyle","Engineer","1998-03-30","9999-01-01"
91161,"Nechama","Beerel","Senior Engineer","1990-07-27","9999-01-01"
91166,"Satoru","Bahl","Engineer","1994-02-14","2000-02-14"
91166,"Satoru","Bahl","Senior Engineer","2000-02-14","9999-01-01"
91169,"Koldo","Morrey","Engineer","1997-11-15","2000-12-22"
91174,"Nadjib","Zobel","Engineer","1990-02-18","1999-02-18"
91174,"Nadjib","Zobel","Senior Engineer","1999-02-18","9999-01-01"
91187,"Shigehito","Falby","Senior Staff","1994-05-19","9999-01-01"
91187,"Shigehito","Falby","Staff","1986-05-19","1994-05-19"
91191,"Uinam","Ladret","Senior Engineer","1995-05-02","9999-01-01"
91194,"Gill","Pietrzykowski","Senior Engineer","1987-08-11","2000-08-05"
91196,"Sushant","Garrabrants","Staff","1999-09-23","9999-01-01"
91202,"Yonghong","Zlotek","Senior Staff","1985-11-21","1993-04-19"
91203,"Troy","Eugenio","Senior Staff","2001-02-08","9999-01-01"
91203,"Troy","Eugenio","Staff","1992-02-09","2001-02-08"
91204,"Wanqing","Shigei","Assistant Engineer","1985-06-26","1991-06-26"
91204,"Wanqing","Shigei","Engineer","1991-06-26","1997-06-25"
91204,"Wanqing","Shigei","Senior Engineer","1997-06-25","9999-01-01"
91205,"Matk","Ducloy","Engineer","1990-11-21","1996-11-20"
91205,"Matk","Ducloy","Senior Engineer","1996-11-20","9999-01-01"
91206,"Hauke","Danner","Engineer","1993-07-13","2000-07-13"
91206,"Hauke","Danner","Senior Engineer","2000-07-13","9999-01-01"
91208,"Anwar","Heyers","Senior Staff","1985-08-05","2002-02-14"
91210,"Uri","Sabnani","Senior Staff","1985-07-18","1999-12-29"
91214,"Rildo","Fadgyas","Senior Staff","2001-02-04","9999-01-01"
91214,"Rildo","Fadgyas","Staff","1992-02-05","2001-02-04"
91215,"Olivera","Kroon","Senior Staff","1999-03-06","9999-01-01"
91215,"Olivera","Kroon","Staff","1993-03-06","1999-03-06"
91217,"Xuedong","Nilsson","Senior Staff","1985-04-09","9999-01-01"
91221,"Gianluca","Siochi","Assistant Engineer","1991-02-27","1997-02-26"
91221,"Gianluca","Siochi","Engineer","1997-02-26","9999-01-01"
91222,"Pasqua","Atrawala","Senior Staff","1998-04-16","9999-01-01"
91225,"Pranjal","Mamelak","Staff","1998-02-01","9999-01-01"
91227,"Spyrose","Bala","Assistant Engineer","1996-08-26","9999-01-01"
91228,"Hauke","Leijenhorst","Engineer","1997-05-31","2002-05-31"
91228,"Hauke","Leijenhorst","Senior Engineer","2002-05-31","9999-01-01"
91240,"Jaideep","Strooper","Assistant Engineer","1996-08-18","1997-07-02"
91243,"Mads","Anick","Staff","1995-06-05","9999-01-01"
91244,"Douadi","Rullman","Engineer","1991-02-13","1991-06-17"
91246,"Xiaoshan","Makrucki","Assistant Engineer","1987-06-17","1996-06-16"
91246,"Xiaoshan","Makrucki","Engineer","1996-06-16","9999-01-01"
91251,"Takahiro","Budinsky","Staff","1999-12-02","2001-10-05"
91252,"Pohua","Kambil","Senior Engineer","1993-12-09","1995-10-28"
91265,"Somnath","Ohori","Senior Staff","2001-03-12","9999-01-01"
91265,"Somnath","Ohori","Staff","1996-03-12","2001-03-12"
91270,"Xiahua","Hiraishi","Assistant Engineer","1985-12-16","1991-12-16"
91270,"Xiahua","Hiraishi","Engineer","1991-12-16","1997-12-15"
91270,"Xiahua","Hiraishi","Senior Engineer","1997-12-15","9999-01-01"
91273,"Neelam","Schoegge","Senior Staff","1998-11-11","2001-07-15"
91273,"Neelam","Schoegge","Staff","1992-11-11","1998-11-11"
91274,"Khalid","Gecsel","Engineer","1987-05-12","1996-05-11"
91274,"Khalid","Gecsel","Senior Engineer","1996-05-11","9999-01-01"
91275,"Caolyn","Bouloucos","Engineer","1998-07-15","9999-01-01"
91276,"Gen","Ramamoorthy","Engineer","1995-06-11","9999-01-01"
91279,"Nathan","Terwilliger","Engineer","1994-09-15","1999-09-15"
91279,"Nathan","Terwilliger","Senior Engineer","1999-09-15","9999-01-01"
91280,"Surveyors","Conte","Staff","1994-02-17","1994-03-14"
91289,"Marit","Pramanik","Senior Staff","1996-01-11","9999-01-01"
91289,"Marit","Pramanik","Staff","1989-01-10","1996-01-11"
91297,"Yuchang","Pellegrinelli","Engineer","1992-01-13","1998-01-12"
91297,"Yuchang","Pellegrinelli","Senior Engineer","1998-01-12","9999-01-01"
91306,"Lubomir","Gornas","Staff","1995-08-12","9999-01-01"
91307,"Gladys","Erva","Senior Engineer","1986-07-12","9999-01-01"
91310,"Gaurav","Kakkad","Senior Staff","1988-01-08","9999-01-01"
91314,"Hilari","Fendler","Senior Engineer","1988-12-24","9999-01-01"
91316,"Sampalli","Hertweck","Engineer","1988-09-04","1991-05-22"
91317,"Paraskevi","Anandan","Staff","1998-12-30","9999-01-01"
91324,"Weicheng","Terkki","Senior Engineer","1991-01-09","2001-12-30"
91325,"Phillip","Beutelspacher","Senior Staff","1992-11-03","9999-01-01"
91328,"Kazuyasu","Neiman","Engineer","1994-04-11","1999-04-11"
91328,"Kazuyasu","Neiman","Senior Engineer","1999-04-11","9999-01-01"
91329,"Masoud","Brandsma","Technique Leader","1990-01-03","9999-01-01"
91330,"Franziska","Kopetz","Senior Staff","1991-05-05","9999-01-01"
91334,"Khun","Lorys","Engineer","1995-03-03","9999-01-01"
91338,"Ipke","Eugenio","Engineer","1992-06-02","1998-06-02"
91338,"Ipke","Eugenio","Senior Engineer","1998-06-02","9999-01-01"
91341,"Weiru","Fontan","Engineer","1987-08-14","1996-08-13"
91341,"Weiru","Fontan","Senior Engineer","1996-08-13","9999-01-01"
91344,"Nishit","Schueller","Senior Staff","1989-12-28","9999-01-01"
91348,"Basim","Muchinsky","Senior Staff","2000-12-04","9999-01-01"
91348,"Basim","Muchinsky","Staff","1992-12-04","2000-12-04"
91350,"Boriana","Murrill","Staff","2000-01-26","9999-01-01"
91364,"Huai","Picaronny","Senior Staff","1992-04-08","1994-08-12"
91364,"Huai","Picaronny","Staff","1986-04-09","1992-04-08"
91365,"Xudong","Caine","Senior Engineer","1998-01-04","9999-01-01"
91366,"Chinho","Munoz","Assistant Engineer","1999-02-20","9999-01-01"
91367,"Kerryn","Sluis","Senior Staff","1986-10-02","9999-01-01"
91372,"Aloys","Lanteri","Staff","1997-08-01","9999-01-01"
91373,"Shigenori","Cusworth","Senior Staff","1992-03-29","9999-01-01"
91373,"Shigenori","Cusworth","Staff","1987-03-30","1992-03-29"
91374,"Eishiro","Kuzuoka","Engineer","1999-07-08","2000-12-09"
91380,"Gay","Braunschweig","Staff","1994-08-03","9999-01-01"
91382,"Oksana","Puppe","Senior Staff","1992-12-15","2001-04-26"
91383,"Shalesh","Bridgland","Senior Engineer","1993-04-19","9999-01-01"
91387,"Shakhar","Jumpertz","Engineer","1985-10-28","1993-10-28"
91387,"Shakhar","Jumpertz","Senior Engineer","1993-10-28","9999-01-01"
91392,"Rimon","Junet","Senior Staff","1996-07-20","9999-01-01"
91395,"Golgen","Aseltine","Senior Staff","1996-10-02","9999-01-01"
91395,"Golgen","Aseltine","Staff","1987-10-03","1996-10-02"
91398,"Masaki","Dolinsky","Staff","1990-08-20","1994-05-13"
91399,"Rafail","Kakkad","Engineer","1994-01-27","2001-01-27"
91399,"Rafail","Kakkad","Senior Engineer","2001-01-27","9999-01-01"
91401,"Taegyun","Fetvedt","Engineer","1986-06-09","1991-06-09"
91401,"Taegyun","Fetvedt","Senior Engineer","1991-06-09","9999-01-01"
91405,"Surveyors","Ghelli","Engineer","1991-03-04","1996-03-03"
91405,"Surveyors","Ghelli","Senior Engineer","1996-03-03","9999-01-01"
91409,"Monique","Demke","Engineer","1991-12-19","2000-12-18"
91409,"Monique","Demke","Senior Engineer","2000-12-18","9999-01-01"
91411,"Chenyi","Keirsey","Senior Engineer","1986-05-25","9999-01-01"
91413,"Ekawit","Asser","Senior Engineer","1985-02-27","9999-01-01"
91420,"Jacqueline","Suppi","Senior Staff","1996-12-24","9999-01-01"
91420,"Jacqueline","Suppi","Staff","1988-12-24","1996-12-24"
91424,"Mabry","Talmon","Engineer","1986-07-12","1995-07-12"
91424,"Mabry","Talmon","Senior Engineer","1995-07-12","9999-01-01"
91426,"Alagu","Sidhu","Senior Engineer","1989-02-09","1997-04-13"
91429,"Shaunak","Pollock","Senior Staff","1997-10-04","9999-01-01"
91429,"Shaunak","Pollock","Staff","1988-10-04","1997-10-04"
91438,"Feiyu","Comellas","Engineer","1988-01-04","1996-01-04"
91438,"Feiyu","Comellas","Senior Engineer","1996-01-04","9999-01-01"
91442,"Subhankar","Schaad","Engineer","1990-04-30","1997-04-30"
91442,"Subhankar","Schaad","Senior Engineer","1997-04-30","9999-01-01"
91447,"Giri","Thambidurai","Senior Engineer","1996-08-24","9999-01-01"
91448,"Chuanyi","Riesenhuber","Technique Leader","1993-12-30","9999-01-01"
91451,"Akeno","Savasere","Assistant Engineer","1995-01-01","9999-01-01"
91452,"Nevio","Flasterstein","Senior Staff","1994-01-03","9999-01-01"
91454,"Padma","Baek","Engineer","1998-11-06","9999-01-01"
91456,"Jovan","Luce","Senior Staff","1996-06-03","9999-01-01"
91456,"Jovan","Luce","Staff","1989-06-03","1996-06-03"
91457,"Volkmar","Schusler","Senior Staff","1986-06-09","9999-01-01"
91469,"Ronghao","Georgakopoulos","Engineer","1992-02-01","2001-01-31"
91469,"Ronghao","Georgakopoulos","Senior Engineer","2001-01-31","9999-01-01"
91473,"Gadiel","Kuzuoka","Engineer","1987-03-03","1994-03-03"
91473,"Gadiel","Kuzuoka","Senior Engineer","1994-03-03","9999-01-01"
91475,"Pranay","Raczkowsky","Senior Staff","1988-01-01","9999-01-01"
91485,"Khoa","Asser","Senior Staff","1996-09-23","9999-01-01"
91485,"Khoa","Asser","Staff","1991-09-24","1996-09-23"
91486,"Willard","Nyanchama","Senior Engineer","1988-08-04","1992-08-12"
91489,"Leucio","Viele","Senior Staff","1993-04-17","9999-01-01"
91489,"Leucio","Viele","Staff","1986-04-17","1993-04-17"
91493,"Filipe","Gien","Engineer","1986-01-21","1993-01-21"
91493,"Filipe","Gien","Senior Engineer","1993-01-21","9999-01-01"
91496,"Sven","Casperson","Senior Staff","1999-12-07","9999-01-01"
91498,"Mingsen","Borovoy","Engineer","1989-01-05","1994-01-05"
91498,"Mingsen","Borovoy","Senior Engineer","1994-01-05","1998-08-03"
91499,"Sachem","Mamelak","Assistant Engineer","1990-07-04","1998-07-04"
91499,"Sachem","Mamelak","Engineer","1998-07-04","2001-12-16"
91500,"Bogdan","Kriebel","Engineer","1997-04-13","9999-01-01"
91506,"Lillian","Isaac","Senior Staff","2001-07-28","9999-01-01"
91506,"Lillian","Isaac","Staff","1992-07-28","2001-07-28"
91508,"Tonia","Erdmenger","Staff","1994-10-30","9999-01-01"
91510,"Chandrasekaran","Murthy","Engineer","1988-01-14","1994-01-13"
91510,"Chandrasekaran","Murthy","Senior Engineer","1994-01-13","9999-01-01"
91511,"Kerhong","Birdsall","Engineer","1996-06-05","9999-01-01"
91516,"Kolar","Bazzichi","Senior Staff","1995-05-23","9999-01-01"
91516,"Kolar","Bazzichi","Staff","1986-05-23","1995-05-23"
91517,"Serif","Hofstetter","Senior Staff","1997-04-29","9999-01-01"
91517,"Serif","Hofstetter","Staff","1991-04-30","1997-04-29"
91519,"Danco","Panienski","Senior Staff","1986-12-09","9999-01-01"
91521,"Akeel","Murthy","Staff","1997-09-17","9999-01-01"
91527,"Basant","Klerer","Senior Staff","1994-08-08","9999-01-01"
91527,"Basant","Klerer","Staff","1987-08-08","1994-08-08"
91531,"Aksel","Wissmann","Senior Staff","1994-10-01","9999-01-01"
91531,"Aksel","Wissmann","Staff","1989-10-01","1994-10-01"
91541,"Slavian","McFarlin","Senior Staff","1992-03-24","9999-01-01"
91541,"Slavian","McFarlin","Staff","1985-03-24","1992-03-24"
91543,"Yechiam","Dredge","Engineer","1997-02-27","9999-01-01"
91547,"Jiafu","Speel","Engineer","1996-12-04","2001-12-04"
91547,"Jiafu","Speel","Senior Engineer","2001-12-04","9999-01-01"
91553,"Arfst","Wendorf","Assistant Engineer","1985-04-02","1992-02-06"
91557,"Yuping","Gomatam","Senior Staff","2000-12-20","9999-01-01"
91557,"Yuping","Gomatam","Staff","1993-12-20","2000-12-20"
91563,"Hugh","Munos","Engineer","1985-04-14","1990-04-14"
91563,"Hugh","Munos","Senior Engineer","1990-04-14","9999-01-01"
91564,"Sungwon","Schueller","Engineer","1994-09-18","1995-06-23"
91565,"Nikolaos","Rathonyi","Staff","1989-07-14","1993-03-17"
91566,"Hongzue","Rohrbach","Senior Staff","1993-12-02","9999-01-01"
91566,"Hongzue","Rohrbach","Staff","1987-12-03","1993-12-02"
91572,"Aiichiro","Halloran","Staff","1998-09-15","2002-04-03"
91574,"Doowon","Vendrig","Senior Engineer","1994-11-06","9999-01-01"
91578,"Weicheng","Rikino","Senior Engineer","1991-04-10","9999-01-01"
91580,"Greger","Koshiba","Engineer","1989-04-19","1996-04-19"
91580,"Greger","Koshiba","Senior Engineer","1996-04-19","9999-01-01"
91583,"Dinkar","Kroft","Senior Staff","1990-07-12","9999-01-01"
91585,"Teruyuki","Mitchem","Staff","1994-05-18","1997-09-05"
91589,"Jaber","Kavraki","Engineer","1995-03-09","1997-12-22"
91593,"Pantung","Unno","Senior Engineer","1994-12-03","9999-01-01"
91600,"Mountaz","Rusmann","Senior Staff","1992-01-07","9999-01-01"
91602,"Jackson","Weedman","Staff","1995-09-17","2000-12-28"
91603,"Adil","Ghelli","Senior Engineer","1999-04-27","9999-01-01"
91607,"Josyula","Speckmann","Senior Engineer","1987-02-07","9999-01-01"
91608,"Sachio","Osgood","Senior Staff","2001-08-28","9999-01-01"
91608,"Sachio","Osgood","Staff","1992-08-28","2001-08-28"
91611,"Barry","Kaelbling","Senior Engineer","1994-05-08","1996-06-14"
91613,"Bilhanan","Slutz","Engineer","1994-09-10","1999-09-10"
91613,"Bilhanan","Slutz","Senior Engineer","1999-09-10","9999-01-01"
91614,"Yechezkel","Wixon","Senior Engineer","1987-04-17","9999-01-01"
91620,"Jenwei","McDermid","Engineer","1998-01-19","9999-01-01"
91621,"Margo","Geffroy","Staff","1997-01-21","2000-03-19"
91623,"Haldun","Manderick","Staff","1999-04-24","9999-01-01"
91628,"Krister","Fiutem","Engineer","1998-06-30","9999-01-01"
91630,"Saniya","Maquelin","Assistant Engineer","1990-11-28","1999-11-28"
91630,"Saniya","Maquelin","Engineer","1999-11-28","9999-01-01"
91632,"Bingning","Penn","Senior Staff","1987-09-03","1998-12-18"
91637,"Gino","Menhoudj","Staff","1998-09-14","9999-01-01"
91638,"Youjian","Siprelle","Engineer","1993-03-24","2001-03-24"
91638,"Youjian","Siprelle","Senior Engineer","2001-03-24","9999-01-01"
91641,"Doowon","Fontet","Senior Engineer","1992-06-06","9999-01-01"
91644,"Jordanka","Bashian","Staff","1998-10-03","9999-01-01"
91652,"Kasturi","Staylopatis","Assistant Engineer","1996-07-18","2001-07-18"
91652,"Kasturi","Staylopatis","Engineer","2001-07-18","9999-01-01"
91655,"Nahid","Remmers","Engineer","1995-11-25","9999-01-01"
91656,"Clyde","Collavizza","Senior Engineer","1995-09-05","9999-01-01"
91659,"Oksana","Besancenot","Senior Staff","1999-05-30","9999-01-01"
91659,"Oksana","Besancenot","Staff","1991-05-30","1999-05-30"
91662,"Jeane","Riexinger","Staff","1985-07-17","1987-08-06"
91664,"Lorien","Gyorkos","Senior Staff","2000-10-18","9999-01-01"
91664,"Lorien","Gyorkos","Staff","1993-10-18","2000-10-18"
91670,"Gully","Isard","Engineer","1997-06-12","1998-10-20"
91675,"Parke","Wrigley","Senior Staff","1999-11-20","9999-01-01"
91675,"Parke","Wrigley","Staff","1991-11-20","1999-11-20"
91681,"Gennadi","Ananiadou","Senior Staff","1999-05-18","9999-01-01"
91681,"Gennadi","Ananiadou","Staff","1991-05-18","1999-05-18"
91687,"Nobuyoshi","Terlouw","Engineer","1989-10-29","1995-10-29"
91687,"Nobuyoshi","Terlouw","Senior Engineer","1995-10-29","1996-10-28"
91688,"Vishv","Veevers","Engineer","1995-07-09","9999-01-01"
91689,"Yaghout","Strooper","Senior Engineer","1994-10-31","9999-01-01"
91693,"Valter","Dayang","Engineer","1996-11-11","2001-11-17"
91694,"Maha","Showalter","Engineer","1986-11-01","1991-11-01"
91694,"Maha","Showalter","Senior Engineer","1991-11-01","9999-01-01"
91696,"Chikara","Pileggi","Staff","1997-11-21","9999-01-01"
91698,"Pascal","Angot","Staff","1993-08-25","9999-01-01"
91699,"Bogdan","Camurati","Senior Staff","1999-04-02","9999-01-01"
91699,"Bogdan","Camurati","Staff","1990-04-03","1999-04-02"
91702,"Kensei","Stanfel","Engineer","1985-11-20","1993-11-20"
91702,"Kensei","Stanfel","Senior Engineer","1993-11-20","9999-01-01"
91704,"Utz","Antonisse","Senior Staff","1994-11-28","9999-01-01"
91708,"Mori","Bahi","Engineer","1990-05-05","1998-05-05"
91708,"Mori","Bahi","Senior Engineer","1998-05-05","9999-01-01"
91710,"Tesuro","Rohrbach","Staff","1999-10-16","2000-08-06"
91713,"Oddvar","Emmart","Senior Staff","2000-07-23","9999-01-01"
91713,"Oddvar","Emmart","Staff","1992-07-23","2000-07-23"
91718,"Yuuichi","Gubsky","Senior Staff","2001-11-01","9999-01-01"
91718,"Yuuichi","Gubsky","Staff","1994-11-01","2001-11-01"
91720,"Phillip","Suwa","Engineer","1985-12-16","1994-12-16"
91720,"Phillip","Suwa","Senior Engineer","1994-12-16","9999-01-01"
91721,"Weiye","Klyachko","Senior Staff","1994-07-25","1997-09-12"
91721,"Weiye","Klyachko","Staff","1989-07-25","1994-07-25"
91722,"Yonghoan","Dolinsky","Engineer","1997-07-08","9999-01-01"
91723,"Guangming","Foote","Engineer","1989-10-11","1995-10-11"
91723,"Guangming","Foote","Senior Engineer","1995-10-11","9999-01-01"
91726,"Kyoichi","Erdi","Senior Staff","2001-05-05","9999-01-01"
91726,"Kyoichi","Erdi","Staff","1992-05-05","2001-05-05"
91730,"Guther","Douceur","Engineer","1989-11-17","1990-10-16"
91740,"Marie","Mandell","Engineer","1985-06-04","1989-02-03"
91742,"Ramzi","Mapelli","Senior Staff","1989-06-09","9999-01-01"
91746,"Kiam","Cools","Engineer","1986-10-14","1994-10-14"
91746,"Kiam","Cools","Senior Engineer","1994-10-14","9999-01-01"
91748,"Marin","Kroft","Engineer","1990-11-23","1996-11-22"
91748,"Marin","Kroft","Senior Engineer","1996-11-22","9999-01-01"
91756,"Xiaobin","Vandervoorde","Staff","1999-03-18","2001-11-18"
91757,"Shugo","Gide","Senior Engineer","1997-08-20","9999-01-01"
91763,"Abdulla","Gronowski","Engineer","1998-11-26","9999-01-01"
91765,"Saeko","Alameldin","Engineer","1999-01-22","9999-01-01"
91772,"Mostafa","Tchuente","Technique Leader","1995-08-05","9999-01-01"
91774,"Hugo","Pietracaprina","Senior Staff","1995-01-02","9999-01-01"
91774,"Hugo","Pietracaprina","Staff","1986-01-02","1995-01-02"
91775,"Kristian","Nishimukai","Engineer","1987-11-16","1992-11-15"
91775,"Kristian","Nishimukai","Senior Engineer","1992-11-15","9999-01-01"
91778,"Fumiya","Coullard","Engineer","1992-02-14","2001-02-13"
91778,"Fumiya","Coullard","Senior Engineer","2001-02-13","9999-01-01"
91798,"Gio","Mersereau","Staff","1999-11-05","2001-05-16"
91799,"Dayanand","Gill","Senior Engineer","1987-08-18","9999-01-01"
91802,"Alassane","Meriste","Senior Staff","1993-07-28","9999-01-01"
91802,"Alassane","Meriste","Staff","1988-07-28","1993-07-28"
91806,"Gully","Conde","Engineer","1990-09-15","1993-11-09"
91807,"Susuma","Masaki","Engineer","1989-01-22","1997-01-22"
91807,"Susuma","Masaki","Senior Engineer","1997-01-22","9999-01-01"
91812,"Anyuan","Guting","Senior Staff","1998-12-12","9999-01-01"
91812,"Anyuan","Guting","Staff","1991-12-12","1998-12-12"
91813,"Zhiwei","Bernini","Staff","1998-05-28","9999-01-01"
91819,"Fayez","Lipner","Senior Staff","2001-09-08","9999-01-01"
91819,"Fayez","Lipner","Staff","1993-09-08","2001-09-08"
91820,"Arunachalam","Hofman","Senior Engineer","1988-08-10","9999-01-01"
91821,"Serif","Shigei","Staff","1993-08-05","9999-01-01"
91822,"Maren","Bala","Senior Staff","1998-08-11","2001-06-30"
91827,"Samphel","Impagliazzo","Senior Staff","1997-05-08","9999-01-01"
91827,"Samphel","Impagliazzo","Staff","1991-05-09","1997-05-08"
91835,"Zhigen","Segond","Senior Staff","1999-09-07","9999-01-01"
91835,"Zhigen","Segond","Staff","1993-09-07","1999-09-07"
91836,"Mario","Harnett","Senior Engineer","1998-05-31","9999-01-01"
91837,"Khosrow","Vigier","Senior Staff","2001-10-18","9999-01-01"
91837,"Khosrow","Vigier","Staff","1996-10-18","2001-10-18"
91839,"Fumitake","Wegerle","Engineer","1997-02-19","9999-01-01"
91845,"Caolyn","Zeidenstein","Engineer","1988-08-26","1996-08-26"
91845,"Caolyn","Zeidenstein","Senior Engineer","1996-08-26","9999-01-01"
91846,"Subbu","Selvestrel","Staff","1997-05-31","9999-01-01"
91847,"Bedir","Krybus","Staff","1997-09-23","9999-01-01"
91850,"Rasikan","Keirsey","Engineer","1986-12-26","1993-12-26"
91850,"Rasikan","Keirsey","Senior Engineer","1993-12-26","9999-01-01"
91851,"Shigeu","Wiegley","Engineer","1994-03-13","2000-03-12"
91851,"Shigeu","Wiegley","Senior Engineer","2000-03-12","9999-01-01"
91862,"Hitomi","Kilgore","Engineer","1992-09-14","1997-09-14"
91862,"Hitomi","Kilgore","Senior Engineer","1997-09-14","9999-01-01"
91864,"Danco","Mondadori","Staff","1988-02-05","1994-03-27"
91870,"Chanjung","Fasbender","Staff","1999-10-15","9999-01-01"
91871,"Selwyn","Androutsos","Engineer","1985-05-01","1990-05-01"
91871,"Selwyn","Androutsos","Senior Engineer","1990-05-01","9999-01-01"
91872,"Yongqiao","Masaki","Engineer","1989-06-27","1994-06-27"
91872,"Yongqiao","Masaki","Senior Engineer","1994-06-27","9999-01-01"
91875,"Herbert","Peternell","Engineer","1992-05-25","2001-05-25"
91875,"Herbert","Peternell","Senior Engineer","2001-05-25","9999-01-01"
91876,"Chinya","Khamsi","Engineer","1992-02-01","2000-01-17"
91877,"Jiang","Rodiger","Senior Staff","2000-10-30","9999-01-01"
91877,"Jiang","Rodiger","Staff","1992-10-30","2000-10-30"
91880,"Ingemar","Hockney","Technique Leader","1989-09-12","9999-01-01"
91885,"Fai","Moehrke","Engineer","1988-03-04","1993-03-04"
91885,"Fai","Moehrke","Senior Engineer","1993-03-04","9999-01-01"
91888,"Peer","Werthner","Engineer","1989-01-12","1994-01-12"
91888,"Peer","Werthner","Senior Engineer","1994-01-12","9999-01-01"
91890,"Tonia","Madeira","Senior Staff","1994-11-04","9999-01-01"
91891,"Mariusz","Peac","Senior Staff","1990-05-01","1992-05-14"
91898,"Dines","Brlek","Senior Staff","1998-04-21","9999-01-01"
91900,"Shooichi","Unno","Staff","1996-06-20","9999-01-01"
91903,"Rosalie","Kaiser","Engineer","1986-07-17","1991-07-17"
91903,"Rosalie","Kaiser","Senior Engineer","1991-07-17","9999-01-01"
91904,"Cordelia","Penttonen","Senior Staff","1990-07-15","9999-01-01"
91904,"Cordelia","Penttonen","Staff","1985-07-15","1990-07-15"
91906,"Mrinalini","Kaltofen","Engineer","1989-09-05","1997-09-05"
91906,"Mrinalini","Kaltofen","Senior Engineer","1997-09-05","2001-01-11"
91908,"Munenori","Kalsbeek","Senior Staff","1996-05-10","9999-01-01"
91908,"Munenori","Kalsbeek","Staff","1990-05-11","1996-05-10"
91909,"Yinghua","Ghelli","Technique Leader","1992-04-21","9999-01-01"
91912,"Dzung","Marletta","Senior Engineer","1986-11-24","9999-01-01"
91913,"Alain","Hofmeyr","Engineer","1992-07-03","1997-07-03"
91913,"Alain","Hofmeyr","Senior Engineer","1997-07-03","9999-01-01"
91924,"Srinidhi","Krupka","Senior Staff","1997-02-12","2002-01-20"
91927,"Yongqiao","Valtorta","Senior Staff","1994-02-06","9999-01-01"
91927,"Yongqiao","Valtorta","Staff","1987-02-06","1994-02-06"
91932,"Zhenhua","Crooks","Engineer","1987-05-16","1993-05-15"
91932,"Zhenhua","Crooks","Senior Engineer","1993-05-15","9999-01-01"
91933,"Alassane","Radivojevic","Engineer","1989-04-26","1996-04-26"
91933,"Alassane","Radivojevic","Senior Engineer","1996-04-26","9999-01-01"
91938,"Shahid","Pintelas","Assistant Engineer","1998-01-10","2000-11-09"
91947,"Bikash","Slaats","Engineer","1995-09-30","2001-09-29"
91947,"Bikash","Slaats","Senior Engineer","2001-09-29","9999-01-01"
91953,"Nirmal","Luks","Senior Staff","1991-05-11","9999-01-01"
91953,"Nirmal","Luks","Staff","1986-05-11","1991-05-11"
91955,"Mantis","Mamelak","Senior Staff","1997-11-11","9999-01-01"
91955,"Mantis","Mamelak","Staff","1991-11-12","1997-11-11"
91960,"Peternela","Decleir","Staff","1997-08-05","9999-01-01"
91963,"Rimli","Chenney","Engineer","1995-07-16","2002-01-09"
91971,"Anoosh","Guenter","Staff","1995-01-09","1997-06-29"
91972,"Moie","Woycyznski","Engineer","1990-03-19","1995-03-19"
91972,"Moie","Woycyznski","Senior Engineer","1995-03-19","9999-01-01"
91976,"Sajjan","Baaz","Engineer","1997-08-26","9999-01-01"
91977,"Kinh","Reutenauer","Engineer","1993-09-23","2001-09-23"
91977,"Kinh","Reutenauer","Senior Engineer","2001-09-23","9999-01-01"
91978,"Bojan","Undy","Senior Staff","1995-11-12","2000-09-20"
91978,"Bojan","Undy","Staff","1990-11-12","1995-11-12"
91979,"Franziska","Nergos","Senior Staff","1998-01-23","9999-01-01"
91979,"Franziska","Nergos","Staff","1990-01-23","1998-01-23"
91982,"Masami","Zschoche","Assistant Engineer","1998-05-17","9999-01-01"
91986,"Thodoros","Shumilov","Assistant Engineer","1994-10-19","1999-10-19"
91986,"Thodoros","Shumilov","Engineer","1999-10-19","9999-01-01"
91993,"Bernd","Camurati","Senior Engineer","1995-04-29","9999-01-01"
91994,"Karoline","Leijenhorst","Staff","1993-02-06","1998-04-30"
91996,"Shmuel","Cronan","Senior Engineer","1994-02-21","9999-01-01"
91997,"Pranas","Kaminger","Engineer","1994-03-13","2001-03-13"
91997,"Pranas","Kaminger","Senior Engineer","2001-03-13","9999-01-01"
92001,"Leif","Matzen","Engineer","1992-02-12","1993-12-29"
92003,"Martial","Matheson","Senior Engineer","1996-05-06","9999-01-01"
92007,"Arco","Dymetman","Engineer","1998-01-19","9999-01-01"
92014,"Keiichiro","dAstous","Engineer","1991-05-13","1997-05-12"
